----------------------- Page 1-----------------------

abandon            v./n.放弃；放纵                                            分拆联想：a+band(乐队)+on→一个乐队在演出→放纵 
absolve            v.赦免，免除                                               词根记忆：ab+solve(解决)→不再解决→赦免，免除 
absorb             v.吸收；同化；吸引„的注意                                        词根记忆：ab(离去)+sorb(吸收)→吸收掉 
abstain            v.禁绝，放弃                                               词根记忆：abs(不)+tain(拿住)→不拿住→放弃 

                                                                         词根记忆：abs(不)+tem(酒)+ious→不喝酒→节制的；注意tem来自拉丁文 
abstemious         a.有节制的，节俭的                                            temetum(=mead蜜酒) 
abstract           n.摘要；a.抽象的                                            词根记忆：abs+tract(拉)→从文章中拉出→摘要 
abstruse           a.难懂的，深奥的                                             词根记忆：abs+trus(走，推)+e→走不进去→难懂的 
absurd             a.荒谬的，可笑的                                             词根记忆：ab+surd(不合理的)→不合理的→荒谬的 
abundant           a.丰富的，盛产的                                             无 
abuse              v./n.辱骂; 滥用                                           词根记忆：ab(变坏)+use(用)→用不好→滥用 
abusive            a.漫骂的；毁谤的；虐待的                                         无 
abut               v.接界，毗连                                               about去掉o ；注意不要和abet(教唆)相混 
abysmal            a.极深的；糟透的                                             来自abyss(深渊，深坑)，a+byss(深) 
academic           a.学院的，学术的；理论的                                         来自academy(n.学院，学术团体) 
accede             v.同意                                                  词根记忆：ac+cede(走)→走到一起→同意 
accelerate         v.加速；促进                                               词根记忆：ac(加强)+celer(速度)+ate→加速 
accentuate         v.重读；强调                                               词根记忆：ac(加强)+cent(=cant唱，说)+uate→不断说→强调 
access             n.通路；途径                                               词根记忆：ac+cess(走)→走过去→通路 
accessible         a.易达到的；易受影响的                                          无 
accessory          a.附属的，次要的                                             无 
acclaim            v.欢呼，称赞                                               词根记忆：ac+claim( 叫喊)→不断叫喊→欢呼 
acclimate          v.使服水土; 使适应                                           ac+climate(气候，水土)→服水土 
accolade           n.推崇；赞扬                                               词根记忆：ac+col(脖子)+ade→把奖牌挂上脖子→赞美 
accommodate        v.与„一致；提供食宿                                           词根记忆：ac+commod(方便)+ate→给人方便→提供食宿 
accommodating      a.乐于助人的                                               无 
accompany          v.伴随，陪伴                                               ac+company(陪伴) 
accomplice         n.同谋者，帮凶                                              词根记忆：ac+com(共同)+plic(重叠)+e→重叠一起干→同谋 
accomplish         v.完成，做成功                                              词根记忆：ac+compl(满)+ish→圆满→完成 
accord             v./n.同意；一致                                            词根记忆：ac+cord(心)→心心相印→一致，同意 
accost             v.搭话                                                  分拆联想：ac+cost(花费)→和人认识后要花钱→搭话 
accountability     n.负有责任                                                account(解释)+ability→对事情应做解释→负有责任 
accrete            v.逐渐增长；添加生长；连生                                        词根记忆：词根记忆：ac(加强)+cre(增长)＋te→逐渐增长 
accrue             v.(利息等)增大；增多                                          词根记忆：ac+crue(增加) 
accumulate         v.积聚，积累                                               词根记忆：ac+cumul(堆积)+ate→不断堆积→积累 
accurate           a.精确的，准确的                                             无 
accuse             v.谴责，指责                                               词根记忆：ac+cuse(理由)→有理由说别人→指责 
acerbic            a.苦涩的；刻薄的                                             词根记忆：acerb(尖，酸)+ic→尖酸的，刻薄的 
acknowledge        v.承认；致谢                                               ac+knowledge(知识，知道)→大家都知道了，所以不得不承认 
acme               n.顶点，极点                                               无 

----------------------- Page 2-----------------------

acolyte            n.(教士的)助手，侍僧                                          发音记忆：“爱过来的”→爱过来帮忙的人→助手 
acorn              n.橡子，橡果                                               分拆联想：a+corn(谷物)→一个谷物→橡子 
acoustic           a.听觉的，有关声音的                                           无 
acquaint           v.使„熟知；通知                                             词根记忆：ac+quaint(知道)→使„熟知，通知 
acquiesce          v.勉强同意，默许                                             词根记忆：ac+quiesce(安静)→安静→保持沉默，默许 
acquired           a.后天习得的                                               词根记忆：ac+quir(寻求)+ed→靠后天努力寻求到的→后天习得的 
acquisitive        a.渴望得到的，贪婪的                                           词根记忆：ac+quisit(得到)+ive→一再想得到→贪婪的 
acquit             v.宣告无罪；脱卸义务和责任；还清(债务)                                 词根记忆：ac+quit(放弃)→放弃指控→宣告无罪 
acquittal          n.宣告无罪，开释                                             无 
acrid              a.辛辣的，刻薄的                                             无 
acrimony           n.尖刻，刻薄                                               词根记忆：acri(尖，酸)+mony(表示名词)→尖刻 
acrobat            n.特技演员，杂技演员                                           词根记忆：acro(高)+bat(走)→高空走的人→杂技演员 
acrophobia         n.恐高症                                                 词根记忆：acro(高)+phob(憎恨)+ia(病)→憎恨高的病 
acuity             n.(尤指思想或感官)敏锐                                         词根记忆：acu(尖，酸，锐利)+ity(表性质)→锐利→敏锐 
acumen             n.敏锐，精明                                               词根记忆：acu(尖，酸，锐利)+men(表名词)→敏锐，精明 
acute              a.灵敏的；[病]急性的                                          无 
adage              n.格言，古训                                               分拆联想：ad(看作add增加)+age(年龄)→随着年龄的增长才能参透的东西→格言， 
                                                                         古训 

adamant            a.强硬的；固执的                                             分拆联想：adam(亚当)+ant(蚂蚁)→亚当和蚂蚁都很固执 
adaptable          a.有适应能力的；可改编的                                         词根记忆：ad+apt(能力)+able(能„的)→有适应能力的；注意不要和adept(老练的)的 
                                                                         相混淆 

addendum           n.补充，附录                                               词根记忆：add(增加)+end(结尾)+um(表名词) 
addict             v./n.沉溺；上瘾(者)                                         词根记忆：ad(一再)+dict(说，要求)→一再要求→上瘾 
additive           n.添加剂                                                 无 
address            v.处理，对付，着手解决；致词                                       无 
adept              a.老练的，精通的                                             词根记忆：ad+ept(能力)→有能力→老练的，精通的 
adequate           a.足够的                                                 词根记忆：ad+equ(平等)+ate→比平等的多→足够的 
adhere             v.粘着                                                  词根记忆：ad+here(粘连)→粘着 
adherent           n.拥护者，信徒                                              词根记忆：ad(一再)+her(粘连)+ent→粘在身后的人→拥护者 
adhesive           a.带粘性的，胶粘的；n.胶合剂                                      词根记忆：ad+hes( ＝stick粘住)+ive→带粘性的；胶合剂 
adjacent           a.接近的，毗连的                                             分拆联想：ad+jacent(躺)→躺在附近→接近的 
adjourn            v.使延期，推迟；休会                                           词根记忆：ad+journ(走路)→再走一次路→推迟 
adjunct            n.附加物，附件                                              词根记忆：ad+junct(结合，连接)→连在上面的东西→附加物 
adjust             v.整顿，整理；适应                                            词根记忆：ad+just(正确)→变正确→整顿 
admire             v.钦佩，赞赏                                               词根记忆：ad(一再)+mir(惊奇；看)+e→一再让人惊奇→钦佩 
admission          n.许可；入会费；承认                                           来自admit(容许，接纳) 
admonish           v.训诫；警告                                               词根记忆：ad(一再)+mon(警告)+ish→警告，训诫 
adobe              n.泥砖，土坯                                               不要和abode(住处)相混；分拆：a+do+be→一次做完的(土坯) 
adolescent         a.青春期的；n.青少年                                          分拆联想：ado(看作adult成人)+lescent(看作licence许可证)→青少年即将拿到成年的 
                                                                         许可证 

adore              v.崇拜；热爱                                               词根记忆：ad+ore(讲话)→不断想对某人讲话→热爱(某人) 
adorn              v.装饰                                                  词根记忆：ad+orn(装饰) 
adroit             a.熟练的，灵巧的                                             词根记忆：a(„的)+droit(灵巧)→灵巧的 
adulate            v.谄媚，奉承                                               联想记忆：和adulterate(掺假)一起记，都可以看作是成人(adult)做的坏事 
adumbrate          v.(对将来事件)预示                                           词根记忆：ad+umbr(影子)+ate→影子提前来到→预示 
advent             n.到来，来临                                               词根记忆：ad+vent(到来) 
adventitious       a.偶然的                                                 来自advent(到来)+itious→(突然)到来的→偶然的 
adverse            a.不利的，相反的；敌对                                          词根记忆：ad(坏)+verse(转)→不利的；敌对的 
advertise          v.做广告                                                 无 
advisable          a.适当的，可行的                                             来自动词advise(建议)；注意区别advisory(劝告的) 
advocate           >v.拥护，支持，鼓吹；n.支持者，拥护者                                 词根记忆：ad+voc( 叫喊，声音)+ate→为其摇旗呐喊→拥护 
aegis              n.盾；保护，庇护                                             分拆联想：a(远离)+eg(看作ego 自己)+is→让危险远离自己→保护 
aerate             v.充气，让空气进入                                            词根记忆：aer(气)+ate(表动作)→充气 
aerial             a.空中的，空气中的                                            无 
aesthete           n.审美家                                                 词根记忆：a+esthete(感觉) 
aesthetic          a.美学的，有审美感的                                           无 
affable            a.易于交谈的；和蔼的                                           词根记忆：af+fable(说，讲)→可以说话的→易于交谈的 

                                                                         词根记忆：af(加强)+fect(做，制作)+ation→做过头了→做作；注意：affection(n.友 
affectation        n.做作，虚假                                               爱)；affecting(a.感人的) 
affected           a.不自然的；假装的                                            注意：affecting(a.感人的) 
affidavit          n.宣誓书                                                 词根记忆：af(加强)+fid(相信)+avit(表名词)→让人相信的东西→宣誓书 
affiliate          v.加入；联合                                               词根记忆：af+fili(儿子)+ate→成为儿子→加入 
affinity           n.密切关系；吸引力                                            词根记忆：af+fin(范围)+ity→在范围内→密切关系 
affirm             v.确认；肯定                                               词根记忆：af+firm(坚定)→一再坚定→肯定 
affix              v.粘上，贴上；在合同上添写某事物；n.词缀                                词根记忆：af+fix( 固定)→固定上去 
afflict            v.使痛苦，折磨                                              词根记忆：af+flict(打击)→一再打击→使痛苦，折磨 

----------------------- Page 3-----------------------

affluent           a.富裕的，丰富的                                             无 
affordable         a.能够支付的                                               来自afford(买得起)，af+ford(拿出)→拿得出 
affront            v.侮辱，冒犯                                               词根记忆：af+front(前面，脸面)→冲着别人的脸→冒犯 
agenda             n.议程                                                  词根记忆：ag(做)+enda(表示名词多数)→做的事情→议程 
agglomerate        v.凝聚，结块                                               词根记忆：ag+glomer(球)+ate→滚成球→凝聚 
aggrandize         v.增大，扩张；吹棒                                            词根记忆：ag+grand(大)+ize→增大 
aggravate          v.加重，恶化                                               词根记忆：ag+grav(重)+ate→加重 
aggregate          v.集合；合计                                               词根记忆：ag+greg( 团体)+ate→成为团体→集合 
aggression         n.侵略；敌对的情绪或行为                                         词根记忆：ag+gress(走)+ion→走到别的国家→侵略 
aggressive         a.好斗的；进取的                                             无 
aggressor          n.侵略者，攻击者                                             无 
aggrieve           v.使受委屈；使痛苦                                            词根记忆：ag+griev(悲伤)+e→使悲伤，使痛苦 
agile              a.敏捷的，灵活的                                             词根记忆：ag(做)+ile(易„)→动作容易的→敏捷的 
agitate            v.搅动，煽动；使不安，使焦虑                                       词根记忆：ag(做)+itate(表示不断的动作)→不断地做→鼓动，煽动 
agnostic           a.不可知论的                                               词根记忆：a+gnost(知道)+ic→不知道→不可知论的 
agog               a.兴奋的，有强烈兴趣的                                          agog可以作词根，意为“引导”，如：demagog(n.煽动者) 
agony              n.极大痛苦                                                词根记忆：agon(挣扎)+y→拼命挣扎→痛苦；谐音：“爱过你” 
agrarian           a.土地的                                                 词根记忆：agr( 田地，农业)+arian(表形容词)→土地的 
agreeable          a.令人喜悦的；欣然同意的                                         来自agree( 同意)+able 
agronomy           n.农学，农艺学                                              词根记忆：agro( 田地；农业)+nomy(学科)→农学 
ail                v.生病                                                  和air(空气)一起记，多呼吸空气(air)就会少生病(ail) 
airborne           a.空气传播的；空运的                                           无 
airtight           a.密闭的，不透气的                                            组合词：air ＋tight(紧的，不透气的)→密闭的，不透气的 
alabaster          a.雪白的                                                 注意原指透明的雪花石膏，引申为“雪白的” 
alacrity           n.乐意，欣然；敏捷，活泼                                         无 
albeit             conj. 虽然，尽管                                           无 
alchemy            n.炼金术                                                 词根记忆：al+chemy(化学) 
alcove             n.凹室                                                  词根记忆：al+cove( 山凹)→凹入；注意常考的同义词有recess(壁凹)，niche(壁龛) 
alert              a.警惕的，机警的; n.警报                                       无 
alias              n.化名，别名                                               词根记忆：ali(其他)+as→其他的名字→化名 

                                                                         词根记忆：ali(其他)+bi(可能等于be=being(存在))→其他存在→不在现场；注意 
alibi              n.某人当时不在犯罪现场的申辩或证明                                    alibi(拉丁文)=elsewhere 
alienate           v.疏远，离间某人                                             词根记忆：alien(外国的)+ate→把别人当外国人→疏远 
align              v.将某物排列在一条直线上；与某人结盟                                   词根记忆：a+lign(木头)→(放)在(直的)木头旁边→在一条直线上 
alimentary         a.饮食的，营养的                                             和ailment(病)一起记，没有alimentary的食品，人就会得ailment 
alkali             n.碱                                                   无 
allay              v.减轻，缓和                                               无 
allege             v.(无证据)陈述，宣称                                          分拆联想：al(加强)+leg(指定，任命)+e→大声任命→宣称 
allegiance         n.忠诚，拥护                                               词根记忆：al(加强)+leg(法律)+iance→拥护法律 
allegory           n.寓言                                                  分拆联想：all+ego( 自己)+ry→全部关于自己的寓言 
allergic           a.过敏的；对„讨厌的                                           无 
alleviate          v.缓和，减轻                                               词根记忆：al+lev(轻)+iate→减轻 
allocate           v.配给，分配                                               词根记忆：al+loc(地方)+ate→不断送给地方→配给，分配 
allowance          n.津贴，补助；承认，允许                                         分拆联想：allow(允许)+ance→允许自由支配的钱→津贴 
allude             v.间接提到，暗指                                             词根记忆：al+lud(嬉笑)+e→在嬉笑中说→间接提到，暗指 
alluring           a.吸引人的，迷人的                                            来自allure( 引诱)，al+lure(吸引力，魅力)，lure本身是一个单词 
aloft              adv.在空中，在头顶上                                          词根记忆：a+loft( 阁楼，鸽房) 
aloof              a.冷淡的，疏远的                                             无 
alphabetical       a.按字母表顺序的                                             由字母α ,β 的发音而来 
alter              v.改变，更改                                               alter本身就是一个词根意为“改变” 
                   a.轮流的，交替的；v.轮流，交替n.候选人，替代性 
alternate                                                                词根记忆：alter(改变)+nate→来回改变→轮流的，交替的 
                   选择 
altruism           n.利他主义；无私                                             词根记忆：altru(其他)+ism(主义)→利他主义 
aluminium          n.铝                                                   无 
amalgam            n.混合物                                                 分拆联想：am+alg+am→前后两个am结合→混合物 
amalgamate         v.合并；混合                                               无 
amass              v.积聚                                                  词根记忆：a+mass(一团)→变成一团→积聚 
amateur            n.业余爱好者                                               词根记忆：amat(=amor爱)+eur(人)→爱好的人→业余爱好者 
ambidextrous       a.十分灵巧的                                               词根记忆：ambi(二个)+dextr(右的)+ous→两只手都像右手一样灵巧→十分灵巧的 
ambiguous          a.含糊的                                                 词根记忆：ambi(二)+guous(做„的)→两件事都想做→含糊的 
ambivalent         a.(对人或物)有矛盾看法的                                        无 
amble              n./v.漫步，缓行                                            词根记忆：amble本身就是一个词根=ambul(走路) 
ambush             v.埋伏；伏击                                               分拆联想：am+bush(矮树丛)→埋伏在矮树丛里 
ameliorate         v.改善，改良                                               词根记忆：a+melior(=better更好)+ate→变得更好 

----------------------- Page 4-----------------------

amenable            a.愿服从的，通情达理的                                           分拆联想：a+men+able→一个人能共事→通情达理的 
amend               v.修正；通常向更好的方向变化                                        词根记忆：a(加强)+mend(修理)→修正 
amenity             n.礼仪；使人感到舒适的事物                                         和amenable(顺从的，服帖的)一起记，都是以amen开头 
amiable             a.和蔼的，亲切的                                              分拆联想：am(爱)+iable→可爱的，亲切的 
amicable            a.友好的                                                  分拆联想：am+i+cable→我是电缆→友好的通向别人 
amity               n.(人或国之间的)友好关系                                         词根记忆：am(爱，情爱)+ity→友爱关系 
amnesia             n.健忘症                                                  词根记忆：a(无)+mnes(记忆)+ia(病)→没有记忆的病→健忘症 
amnesty             n.大赦，特赦                                                词根记忆：a+mnes(记忆)+ty→不再记仇→赦免 
amorphous           a.无定形的                                                 词根记忆：a+morph(形状)+ous→无形状的 
amortize            v.分期偿还                                                 词根记忆：a+mort(死亡)+ize→使(贷款)死亡→偿还 
amphibian           n.两栖动物；水陆两用飞行器                                         词根记忆：amphi(两个，两种)+bi(生命)+an→两栖动物 
ample               a.富足的；充足的                                              无 
amplify             v.放大；详述                                                词根记忆：ampl(大)+ify→使大，放大 
amplitude           n.广大，广阔                                                词根记忆：ampl(大)+itude→广大，广阔 
amulet              n.护身符                                                  分拆联想：am(爱)+u+let(让)→让它来爱护你→护身符 
amuse               v.使愉快，逗某人笑                                             词根记忆：a+muse(缪斯，古希腊文艺女神) 
anachronistic       a.年代出错的                                                词根记忆：ana(错)+chron(时间)+istic→年代错误的 
anaerobic           a.厌氧的                                                  词根记忆：an(不，无)+aero(空气)+bic→不要空气的→厌氧的 

                                                                           词根记忆：ana(错误，分开)+gram(写，图)→写错的词→变形词；例如：silver写成 
anagram             n.变形词                                                  sliver 
analgesia           n.无痛觉，痛觉丧失                                             词根记忆：an(没有)+alg(痛)+esia→无痛觉 
analgesic           n.镇痛剂；a.止痛的                                            无 
analogy             n.相似；类比                                                词根记忆：ana(并列)+log(说话)+y→放在一起说→类比 
analyze             v.分析，分解                                                词根记忆：ana(分开)+lyze(放)→分开放→分析 
anarchy             n.无政府;政治上的混乱                                           词根记忆：an(不，无)+archy(统治)→无统治→无政府 
anathema            n.被诅咒的人；宗教意义的诅咒                                        分拆联想：ana(错误)+them(他们)+a→他们做错了所以被诅咒 
anatomical          a.解剖学的                                                 来自anatomy(解剖学)，ana(分开)+tomy(切)→切开→解剖 
ancestor            n.祖先，祖宗                                                词根记忆：ance(看作ante先)+stor→祖先，祖宗 
ancestry            n.家系                                                   无 
anchor              v.稳固；固定n.锚                                             发音记忆：“安客”→船安全到岸抛锚，客人便安心了→稳固 
ancillary           a.辅助的；n.助手                                             分拆联想：an(一个)+cillary(音似：希拉里)→克林顿的妻子相当于助手 
anecdote            n.短故事；轶事                                               分拆联想：a+nec(看作neck脖子)+dote(溺爱)→一个人伸着脖子爱听的轶事，趣闻 
anemia              n.贫血，贫血症                                               词根记忆：a(无)+nem(血)+ia(病)→无血病→贫血症 
anguish             n.极大痛苦                                                 词根记忆：angu(痛苦)+ish 
angular             a.有角的；(指人)瘦削的                                          无 
anhydrous           a.无水的                                                  词根记忆：an+hydr(水)+ous→无水的 
animate             a.活的，有生命的；v.赋予生命                                       词根记忆：anim(生命，精神)+ate→有生命的；赋予生命 
animosity           n.憎恶，仇恨                                                词根记忆：anim(生命)+osity→用整个生命去恨 
animus              n.敌意，憎恨                                                无 
annals              n.编年史                                                  词根记忆：ann(年)+als 
annexation          n.并吞，合并                                                来自动词annex(并吞，附加)，an+nex(连接) 
annihilate          v.消灭                                                   词根记忆：an+nihil(无)+ate→消灭 
annotate            v.注解                                                   词根记忆：an+not(标示)+ate→注解 
announce            v.宣布，发表；通报„的到来                                         词根记忆：an+nounce(讲话，说出)→一再讲→宣布 
annoy               v.惹恼；打搅，骚扰                                             无 
annul               v.宣告无效；取消                                              词根记忆：an+nul(消除)→取消 
anomaly             n.异常，反常                                                词根记忆：a+nomal(看作normal正常的)+y→不正常 
anonymity           n.无名，匿名                                                词根记忆：an+onym(名称)+ity→无名，匿名 
anorexia            n.厌食症                                                  词根记忆：an+orex( 胃口)+ia→无胃口的病 
antagonize          v.使对抗；与„对抗                                             词根记忆：ant(反)+agon(打斗，比赛)+ize→对着打→对抗 
Antarctic           a.南极的                                                  无 
antecedent          n.前事；前辈；a.先行的                                          无 
antediluvian        a.史前的；陈旧的                                              词根记忆：ante+diluv(洪水)+ian→洪水以前→史前的 
antenna             n.触角；天线                                                词根记忆：ante(前面)+nna(表名词)→前面的东西→触角；注意：复数antennae 
anterior            a.较早的，以前的                                              无 
anthem              n.圣歌；赞美歌，国歌                                            分拆联想：an+them→一首他们一起唱的歌 
anthology           n.诗集，文选                                                词根记忆：anth(花)+ology→像花一样的文章→诗集，文选 
anthropologist      n.人类学家                                                 词根记忆：anthrop(人)+ologist(学家)→人类学家 
antibiotic          n.抗生素                                                  词根记忆：anti(反)+bio(生命)+ic→抗生素 
antibody            n.抗体(身体中的抗病物质)                                         无 
antic               a.古怪的                                                  和antique(古董)来自同一词源；注意：antics(n.古怪滑稽的动作) 
anticipate          v.预期，期待                                                词根记忆：anti(前)+cip(落下)+ate→提前落下→先占，预期 

                                                                           词根记忆：anti(反)+dote(药剂)→反毒的药→解毒药；注意：dote=dose(药剂)，如： 
antidote            n.解毒药                                                  overdose(用药过量) 

----------------------- Page 5-----------------------

antihistamine      n.(治疗过敏的)抗组胺剂                                           词根记忆：anti(抗)+histam(组织)+ine 
antipathy          n.反感，厌恶                                                 词根记忆：anti+pathy(感情)→反感 
antique            a.古时的，古老的；n.古物，古董                                       词根记忆：anti(前)+que→以前的→古时的 
antiseptic         n.杀菌剂；a.防腐的                                             词根记忆：anti(反)+sept(菌)+ic→杀菌剂 
antithesis         n.对立；相对                                                 词根记忆：anti+thesis(放)→反着放→对立 
anvil              n.铁砧                                                    无 
aorta              n.主动脉                                                   联想记忆：把r置于前面，单词变成raota(拼音：绕它)→主动脉在身体中弯曲盘缠 
apex               n.顶点，最高点                                                无 
aphorism           n.格言                                                    词根记忆：a+phor(带来)+ism→带来智慧的话 
aplomb             n.沉着，镇静                                                 分拆联想：apl(看作apple)+omb(看作tomb) →坟墓中的苹果，很静 
apocalyptic        a.预示世界末日的；启示的                                           来自apocalypse(天启，启示)，apo(离开)+calyps(盖上)+e→揭开→启示 
apocrypha          n.伪经，伪书                                                 词根记忆：apo(远)+cryph(隐藏)+a→非珍藏之物→伪经 
apocryphal         a.假冒的，虚假的                                               无 
apogee             n.远地点                                                   词根记忆：apo(远)+gee(=geo地球)→远地点 
apologize          v.道歉；辩解                                                 词根记忆：apo(远)+log(说话)+ize→离(别人)远一点说话，不面对面骂→道歉 
apoplectic         a.中风的；愤怒的                                               来自apoplexy( 中风) 
apostasy           n.背教，脱党                                                 词根记忆：apo(远)+stas(站)+y→站到远处→叛教，背教 
apostate           n.背教者；变节者                                               无 
apostrophe         n.书写中撇号(’)(表示省略或所有格)                                    词根记忆：apo+strophe(转)→用’把字语省略 
apothecary         n.药剂师                                                   无 
appall             v.使惊骇，使恐怖                                               词根记忆：ap+pal(=pale苍白)+l→脸色变白→惊骇 
apparatus          n.仪器，设备                                                 无 
apparel            n.(精致的)衣服                                               词根记忆：appar(=appear 出现)+el→穿出来的东西→衣服 
apparition         n.幽灵，神奇的现象                                              词根记忆：appar( 出现)+ition→出现的幽灵；和appearance( 出现，外貌)来自同一词 
                                                                           源 

appeal             v.恳求；吸引；上诉                                              词根记忆：ap+peal(=pull拉)→拉过去→吸引 
appease            v.使平静，安抚                                                词根记忆：ap+pease(和平)→使平静 
appellation        n.名称，称呼                                                 词根记忆：来自appeal(恳求)，转化为appellant(上诉人)，再成为appellation 
appetite           n.欲望，食欲，爱好                                              源自拉丁语appetere，ap+peter(寻找，尝试)→寻找、尝试是因为欲望 
appetizer          n.开胃品                                                   无 
appetizing         a.美味可口的，促进食欲的                                           无 
applaud            v.鼓掌表示欢迎或赞赏                                             词根记忆：ap+plaud(鼓掌) 
applause           n.鼓掌，喝彩                                                 无 
applicable         a.生效的，适合的                                               来自apply(v.应用)一词 
applicant          n.申请人                                                   无 
appoint            v.任命，指定；约会                                              ap+point(指)→指定 
apposite           a.适当的，恰当的                                               词根记忆：ap+pos(放)+ite→放一起→适当的；注意不要和opposite(a.相反的)相混淆 
appraise           v.评价，鉴定                                                 词根记忆：ap(加强)+praise(价值，赞扬)→给以价值→评价 
appreciable        a.明显的                                                   词根记忆：ap+preci(赞扬)+able→值得赞扬的→明显的 
appreciate         v.欣赏；感激                                                 词根记忆：ap+preci(价值)+ate→给以价值→评价，欣赏 
apprehend          v.逮捕；恐惧                                                 词根记忆：ap+prehend(抓住)→抓住，逮捕 
apprentice         n.学徒                                                    词根记忆：ap+prent(=prehend抓住)+ice→抓住技术的人 
apprise            v.通知，告诉                                                 分拆联想：app(看作appear)+rise→出现+升起→通知 
approach           v.接近，靠近；着手处理；n.方法                                       词根记忆：ap+proach(接近)→靠近 
approbation        n.称赞，认可                                                 词根记忆：ap+prob(=prove证实)+ation→证实是好的→称赞 
appropriate        v.拨款；盗用；a.恰当的                                           词根记忆：ap+propr(拥有)+iate→自己拥有→挪用，拨款 
approximate        a.大约的，估计的                                               词根记忆：ap+proxim(接近)+ate→接近的，大约的 
apron              n.围裙                                                    分拆联想：apr(看作april)+on→在四月穿上围裙去干活 
apropos            a./adv.适宜的(地)；有关                                        分拆联想：a ＋prop(想成proper适当的)＋os→适宜的∕地 
apt                a.易于„的，恰当的                                              无 
aptitude           n.适宜；才能，资质                                              词根记忆：apt(能力)+itude(状态)→才能，天资，天赋 
aquatic            a.水生的，水中的                                               词根记忆：aqua(水)+tic→水中的 
arabesque          n.蔓藤图饰                                                  词根记忆：arab(阿拉伯)+esque→有阿拉伯风格的图案→蔓藤图饰 
arable             a.可耕的，适合种植的                                             分拆联想：ar(看作are)+able→是能够耕种的 
arbiter            n.权威人士，泰斗                                               词根记忆：arbit(判断，裁决)+er→判断之人→泰斗，权威 
arbitrary          a.专横的，不理智的                                              词根记忆：arbitr(判断)+ary→自己作判断→武断的 
arbitrate          v.仲裁，公断                                                 无 
arboreal           a.树木的                                                   词根记忆：arbor(树)+eal→树的 
arboretum          n.植物园                                                   词根记忆：arbor(树)+et+um(地点)→植物园 
arcane             a.神秘的，秘密的                                               词根记忆：arcan(秘密)+e→神秘的 
arch               n.拱门，拱形                                                 无 
archaeology        n.考古学                                                   词根记忆：archae(古)+ology(学科)→考古学 
